,CollegeCode,College,Department,Area
53,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
54,MEG,Medicine,Otolaryngology,Otolaryngology
55,BUG,Business,Business Administration,Hawkinson Institute
56,BUG,Business,Business Administration,Institute of Risk and Insuranc
57,MEG,Medicine,Medicine Administration,Medicine Administration
58,BUG,Business,Business Administration,Institute of Risk and Insuranc
59,LAG,Liberal Arts & Sciences,Geographical & Sustainability Studies,Geography
60,BUG,Business,Business Administration,Business
61,LAG,Liberal Arts & Sciences,Geographical & Sustainability Studies,Geography
62,BUG,Business,Business Administration,Business
63,LAG,Liberal Arts & Sciences,Social Work,Social Work
64,GCG,Graduate College,Graduate College Admin,Graduate College
65,MEG,Medicine,Cancer Center,Cancer Center
66,LAG,Liberal Arts & Sciences,Social Work,Social Work
67,MEG,Medicine,Cancer Center,Cancer Center
68,PQG,Public Health,Public Health Administration,NA
69,BUG,Business,Business Administration,Business
70,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UI Heart and Vascular Center
71,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
72,BUG,Business,Business Administration,Business
73,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UI Heart and Vascular Center
74,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
75,LIG,UI Libraries,University Libraries Admin,UI Libraries
76,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
77,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
78,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
79,NUG,Nursing,Nursing Administration,Nursing General
80,NUG,Nursing,Nursing Administration,Nursing General
81,NUG,Nursing,Nursing Administration,Nursing General
82,NUG,Nursing,Nursing Administration,Nursing General
83,NUG,Nursing,Nursing Administration,Nursing General
84,VSG,Office of Univ Student Service,VP Student Services Admin,Student Health
85,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
86,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
87,DEG,Dentistry,Dentistry Administration,Dentistry General
88,ENG,Engineering,Engineering Administration,Engineering
89,ENG,Engineering,Engineering Administration,Engineering
90,ENG,Engineering,Engineering Administration,Engineering
91,HAG,Hancher,Hancher Administration,Hancher
92,HAG,Hancher,Hancher Administration,Hancher
93,LAG,Liberal Arts & Sciences,History,History
94,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
95,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
96,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
97,LAG,Liberal Arts & Sciences,Literary Arts,Literary Arts
98,MEG,Medicine,Medicine Administration,Medicine Administration
99,MEG,Medicine,Medicine Administration,Medicine Administration
100,MEG,Medicine,Medicine Administration,Medicine Administration
101,OCG,Pentacrest Museums,Museum of Natural History,Museum Nat Hist
102,OCG,Pentacrest Museums,Old Capitol Administration,Old Capitol
103,DEG,Dentistry,Orthodontics,Orthodontics
104,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
105,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
106,PQG,Public Health,Public Health Administration,Public Health
107,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
108,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
109,WSG,WSUI/KSUI,WSUI/KSUI Admin,WSUI/KSUI
110,P1G,Provost Area Accounts,Provost Area Accounts,Academic Advising
111,LAG,Liberal Arts & Sciences,World Languages & Cultures,Russian
112,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
113,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
114,MEG,Medicine,Radiology,Radiology
115,P1G,Provost Area Accounts,Provost Area Accounts,Academic Advising
116,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
117,OCG,Pentacrest Museums,Old Capitol Administration,Old Capitol
118,LAG,Liberal Arts & Sciences,World Languages & Cultures,Russian
119,CEG,University College,University College Admin,University
120,P1G,Provost Area Accounts,Provost Area Accounts,Provost Area
121,MUG,Museum of Art,Museum Administration,Museum of Art General
122,HAG,Hancher,Hancher Administration,Hancher
123,SAG,Student Aid,Student Aid General Admin,Student Aid
124,ENG,Engineering,Engineering Administration,Engineering
125,ENG,Engineering,Chemical/Materials Engineering,Chem./Mat. Eng.
126,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
127,NUG,Nursing,Nursing Administration,Nursing General
128,NUG,Nursing,Nursing Administration,Nursing General
129,LIG,UI Libraries,University Libraries Admin,UI Libraries
130,MUG,Museum of Art,Museum Administration,Museum of Art General
131,HAG,Hancher,Hancher Administration,Hancher
132,ENG,Engineering,Chemical/Materials Engineering,Chem./Mat. Eng.
133,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
134,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
135,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
136,BUG,Business,Business Administration,Business
137,GCG,Graduate College,Graduate College Admin,Planning and Public Affairs
138,BUG,Business,Accounting Group,Accounting
139,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
140,LIG,UI Libraries,University Libraries Admin,Music Library
141,BUG,Business,Accounting Group,Accounting
142,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
143,UKG,Unknown,Unknown Designation Admin,Unknown
144,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
145,MEG,Medicine,Neurosurgery,Neurosurgery
146,BUG,Business,Business Administration,Business
147,MEG,Medicine,Anesthesiology,Anesthesiology
148,MEG,Medicine,Anesthesiology,Anesthesiology
149,LAG,Liberal Arts & Sciences,Journalism,Journalism
150,MEG,Medicine,Cancer Center,Cancer Center
151,MUG,Museum of Art,Museum Administration,Museum of Art General
152,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
153,MEG,Medicine,Urology,Urology
154,MEG,Medicine,Urology,Urology
155,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
156,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
157,EDG,Education,Education Administration,Education
158,PQG,Public Health,Health Management and Policy,Health Management and Policy
159,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
160,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
161,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
162,HAG,Hancher,Hancher Administration,Hancher
163,LAG,Liberal Arts & Sciences,Music,Music
164,NUG,Nursing,Nursing Administration,Nursing General
165,UUG,UI Unrestricted,UI Unrestricted Administration,Iowa Impact Fund
166,IGG,International,International Programs Admin,International Programs
167,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
168,LWG,Law,Law Foundation,Law Endowment Campaign
169,MEG,Medicine,Cancer Center,Adolescent and Young Adult AYA
170,MEG,Medicine,Ophthalmology & Visual Science,Iowa Lions Bank
171,MEG,Medicine,Internal Medicine,Internal Medicine Admin.
172,MEG,Medicine,Medicine Administration,Global Education
173,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
174,DEG,Dentistry,Oral Pathology & Diagnosis - ORG,Oral Pathology and Diagnosis - OR
175,LAG,Liberal Arts & Sciences,World Languages & Cultures,French and Italian
176,MEG,Medicine,Cancer Center,Cancer Center
177,LWG,Law,Law Foundation,Law Foundation
178,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
179,MEG,Medicine,Medicine Administration,Medicine Administration
180,LAG,Liberal Arts & Sciences,Art and Art History,Jewelry and Metal Arts
181,ENG,Engineering,Engineering Administration,Engineering
182,BUG,Business,Business Administration,Business
183,HAG,Hancher,Hancher Administration,Hancher
184,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
185,BUG,Business,Accounting Group,Accounting
186,LWG,Law,Law Foundation,Law Foundation
187,LWG,Law,Law Administration,Law
188,LWG,Law,Law Foundation,Law Endowment Campaign
189,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
190,ENG,Engineering,Engineering Administration,Engineering Facilities
191,UKG,Unknown,Unknown Designation Admin,Unknown
192,ENG,Engineering,Engineering Administration,Engineering
193,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,30173 accounts under Area LJ
194,LAG,Liberal Arts & Sciences,Music,String Quartet-Music
195,MEG,Medicine,Pediatrics,Pediatric Nephrology
196,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
197,LAG,Liberal Arts & Sciences,Communication Arts,Communictn Arts
198,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
199,BUG,Business,Business Administration,Business
200,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
201,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Office of the Patient Experience
202,ATG,Athletics,Athletics I-Club Membership,Athletics/Other M or W/I-Club
203,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
204,MEG,Medicine,Dermatology,Dermatology
205,LWG,Law,Law Foundation,Law Foundation
206,NUG,Nursing,Nursing Administration,Nursing General
207,LWG,Law,Law Foundation,Law Foundation
208,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
209,BUG,Business,Business Administration,Business
210,UnivofIowa,University of Iowa,University of Iowa Administration,University of Iowa Receipt Only
211,EDG,Education,Belin Blank Center,Belin Center
212,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
213,LWG,Law,Law Foundation,Law Foundation
214,ENG,Engineering,Engineering Administration,Engineering
215,LAG,Liberal Arts & Sciences,Social Work,Aging Studies
216,CEG,University College,University College Admin,Honors Program
217,SAG,Student Aid,Student Aid General Admin,Student Aid
218,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
219,MEG,Medicine,Medicine Administration,Medicine Administration
220,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
221,MEG,Medicine,Pediatrics,Pediatrics
222,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
223,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
224,MEG,Medicine,Medicine Administration,Medicine Administration
225,MEG,Medicine,Medicine Administration,Medicine Administration
226,LAG,Liberal Arts & Sciences,Journalism,Journalism
227,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
228,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
229,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
230,MEG,Medicine,Basic Sciences,Pharmacology
231,LAG,Liberal Arts & Sciences,Journalism,Journalism
232,ENG,Engineering,Engineering Administration,Engineering
233,LWG,Law,Law Administration,Law
234,MEG,Medicine,Basic Sciences,Biochemistry & Molecular Biolo
235,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
236,LAG,Liberal Arts & Sciences,Women's Studies Program,Women's Program
237,LWG,Law,Law Foundation,Law Endowment Campaign
238,BUG,Business,Business Administration,Business
239,WSG,WSUI/KSUI,WSUI/KSUI Admin,WSUI/KSUI
240,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
241,MEG,Medicine,Basic Sciences,Physiology and Biophysics
242,BUG,Business,Business Administration,Business
243,MEG,Medicine,Pediatrics,Pediatric Allergy-Pulmonary
244,BUG,Business,Business Administration,Business
245,IGG,International,International Programs Admin,International Programs
246,MEG,Medicine,Otolaryngology,Otolaryngology
247,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
248,LAG,Liberal Arts & Sciences,World Languages & Cultures,Asian Languages and Literature
249,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
250,CEG,University College,University College Admin,Honors Program
251,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
252,MEG,Medicine,Pediatrics,Pediatrics
253,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Magid Center
254,BUG,Business,Economics,Economics
255,ENG,Engineering,Engineering Administration,Engineering
256,MEG,Medicine,Medicine Administration,Medicine Administration
257,MEG,Medicine,Medicine Administration,Medicine Administration
258,MUG,Museum of Art,Museum Administration,Museum of Art General
259,LAG,Liberal Arts & Sciences,Music,Music
260,DEG,Dentistry,Dentistry Administration,Dentistry General
261,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
262,BUG,Business,Business Administration,Business Facilities
263,LIG,UI Libraries,University Libraries Admin,UI Libraries
264,MEG,Medicine,Medicine Administration,Medicine Administration
265,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
266,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
267,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
268,MEG,Medicine,Dermatology,Dermatology
269,LAG,Liberal Arts & Sciences,Music,Music
270,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
271,LAG,Liberal Arts & Sciences,Earth & Environmental Science,Earth & Environmental Sciences
272,LAG,Liberal Arts & Sciences,Music,Music
273,LAG,Liberal Arts & Sciences,"Gender, Women's, Sexuality Studies","Gender, Women's, Sexuality Stu"
274,BUG,Business,Business Administration,Business
275,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
276,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
277,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
278,EDG,Education,Education Administration,Education
279,GCG,Graduate College,Graduate College Admin,Int'l. Writing
280,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
281,LAG,Liberal Arts & Sciences,Music,Music
282,LWG,Law,Law Foundation,Sandy Boyd Accounts
283,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
284,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
285,ENG,Engineering,Electrical/Computer Engineering,Electrical & Computer Engin.
286,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
287,BUG,Business,Economics,Economics
288,BUG,Business,Business Administration,Business
289,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
290,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
291,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
292,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
293,LAG,Liberal Arts & Sciences,Social Work,Social Work
294,MEG,Medicine,OB/Gyn,Ob/Gyn
295,BUG,Business,Business Administration,Business
296,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
297,GCG,Graduate College,Graduate College Admin,Int'l. Writing
298,MEG,Medicine,Pediatrics,Hematology/Oncology
299,MEG,Medicine,Surgery,Surgery General
300,HAG,Hancher,Hancher Administration,Arts Education
301,IGG,International,International Programs Admin,International Programs
302,MEG,Medicine,Neuroscience Institute,Neuroscience Area
303,HAG,Hancher,Hancher Administration,Hancher
304,MEG,Medicine,Medicine Administration,Medicine Administration
305,HAG,Hancher,Hancher Administration,Hancher
306,LAG,Liberal Arts & Sciences,Earth & Environmental Science,Earth & Environmental Sciences
307,LWG,Law,Law Foundation,Law Foundation
308,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
309,MEG,Medicine,Pediatrics,Pediatrics
310,UUG,UI Unrestricted,UI Unrestricted Administration,Unrestricted to University
311,LAG,Liberal Arts & Sciences,Art and Art History,Art & Art Hist.
312,BUG,Business,Business Administration,Business
313,BUG,Business,Marketing,Marketing
314,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
315,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
316,HAG,Hancher,Hancher Administration,Hancher
317,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
318,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
319,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
320,MEG,Medicine,Basic Sciences,Microbiology
321,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
322,MEG,Medicine,Medicine Administration,Medicine Administration
323,MEG,Medicine,Otolaryngology,Otolaryngology
324,MEG,Medicine,Anesthesiology,Anesthesiology
325,LWG,Law,Law Foundation,Law Foundation
326,MEG,Medicine,Medicine Administration,Medicine Administration
327,MEG,Medicine,Medicine Administration,Medicine Administration
328,LWG,Law,Law Administration,Law
329,MEG,Medicine,Medicine Administration,Medicine Administration
330,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
331,UUG,UI Unrestricted,UI Unrestricted Administration,Unrestricted to University
332,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
333,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
334,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
335,BUG,Business,Business Administration,Business
336,BUG,Business,Accounting Group,Accounting
337,LAG,Liberal Arts & Sciences,Music,Music
338,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
339,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
340,HSG,UI Hospitals and Clinics,Children's Miracle Network,Children's Miracle Network
341,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
342,LWG,Law,Law Administration,Law
343,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
344,MEG,Medicine,Internal Medicine,Division of General Internal Medicine
345,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
346,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
347,ATG,Athletics,Athletics Non-Membership,Kinnick Non-gift
348,ENG,Engineering,Engineering Administration,Engineering
349,LAG,Liberal Arts & Sciences,Art and Art History,Art & Art Hist.
350,ENG,Engineering,Engineering Administration,Engineering
351,LWG,Law,Law Foundation,Law Endowment Campaign
352,LWG,Law,Law Foundation,Law Endowment Campaign
353,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
354,LAG,Liberal Arts & Sciences,Journalism,Journalism
355,IGG,International,International Programs Admin,International Programs
356,MEG,Medicine,Pediatrics,Pediatric Cardiology
357,HAG,Hancher,Hancher Administration,Hancher Other
358,BUG,Business,Accounting Group,Accounting
359,BUG,Business,Business Administration,Management and Organization
360,UKG,Unknown,Unknown Designation Admin,Unknown
361,DEG,Dentistry,Dentistry Administration,Dentistry Other
362,EDG,Education,Education Administration,Teacher Leader Center - E8
363,MEG,Medicine,Medicine Administration,Medicine Administration
364,SAG,Student Aid,Student Aid General Admin,Student Aid
365,MEG,Medicine,Radiology,Radiology
366,BUG,Business,Business Administration,Finance
367,LAG,Liberal Arts & Sciences,Communication Studies,Communication Studies
368,EDG,Education,Education Administration,Education
369,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
370,BUG,Business,Business Administration,Business
371,LWG,Law,Law Foundation,Law Foundation
372,BUG,Business,Accounting Group,Accounting
373,MEG,Medicine,Neurosurgery,Neurosurgery
374,DEG,Dentistry,Orthodontics,Orthodontics
375,MEG,Medicine,Neuroscience Institute,Neuroscience Area
376,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
377,PQG,Public Health,Occupation & Environment Hlth,Occupational & Environ. Hlth.
378,IGG,International,International Programs Admin,International Programs
379,MEG,Medicine,Medicine Administration,Medicine Administration
380,ENG,Engineering,Engineering Administration,Engineering
381,LAG,Liberal Arts & Sciences,Social Work,Social Work
382,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
383,MEG,Medicine,OB/Gyn,Ob/Gyn
384,LWG,Law,Law Foundation,30-425-000 (IA Law School Fdn)
385,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
386,EDG,Education,Education Administration,Education
387,MEG,Medicine,Medicine Administration,Medicine Capital Campaign
388,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
389,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
390,VSG,Office of Univ Student Life,VP Student Life Admin,Dance Marathon/Children's Hosp
391,MEG,Medicine,Dermatology,Dermatology
392,LIG,UI Libraries,University Libraries Admin,Sciences Funds-UI Libraries
393,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
394,ATG,Athletics,Athletics I-Club Membership,Athletics/Women's/Endow/I-Club
395,BUG,Business,Business Administration,Business
396,MEG,Medicine,Medicine Administration,Medicine Administration
397,UKG,Unknown,Unknown Designation Admin,Unknown
398,NUG,Nursing,Nursing Administration,Nursing General
399,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
400,LWG,Law,Law Foundation,Law Foundation
401,LIG,UI Libraries,University Libraries Admin,UI Libraries
402,LAG,Liberal Arts & Sciences,Philosophy,Philosophy
403,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
404,SAG,Student Aid,Student Aid General Admin,Student Aid Iowa Club Accts
405,LAG,Liberal Arts & Sciences,Journalism,Journalism
406,ATG,Athletics,Athletics I-Club Membership,Athletics/Other Men/I-Club
407,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
408,LAG,Liberal Arts & Sciences,Music,Music
409,LAG,Liberal Arts & Sciences,Philosophy,Philosophy
410,MEG,Medicine,Internal Medicine,Division of General Internal Medicine
411,LAG,Liberal Arts & Sciences,Journalism,Journalism
412,LAG,Liberal Arts & Sciences,Art and Art History,Art & Art Hist.
413,MEG,Medicine,Pediatrics,Hematology/Oncology
414,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
415,DEG,Dentistry,Oral Pathology & Diagnosis,Oral Pathology and Diagnosis
416,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
417,MEG,Medicine,Psychiatry,Psychiatry
418,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
419,MEG,Medicine,Basic Sciences,Biochemistry & Molecular Biolo
420,LWG,Law,Law Foundation,Law Endowment Campaign
421,EDG,Education,Education Administration,Dept of Teaching & Learning
422,SAG,Student Aid,Student Aid General Admin,Student Aid
423,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
424,ENG,Engineering,Engineering Administration,Engineering
425,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
426,EDG,Education,Belin Blank Center,Belin Center
427,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
428,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
429,LWG,Law,Law Foundation,Law Endowment Campaign
430,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
431,DEG,Dentistry,Operative Dentistry,Operative Dentistry
432,DEG,Dentistry,Family Dentistry,Family Dentistry
433,LWG,Law,Law Foundation,Law Foundation
434,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
435,EDG,Education,Education Administration,Dept of Teaching & Learning
436,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
437,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
438,MEG,Medicine,Medicine Administration,Medicine Administration
439,LAG,Liberal Arts & Sciences,Music,Music
440,GCG,Graduate College,Graduate College Admin,Graduate College
441,BUG,Business,Business Administration,Business
442,BUG,Business,Business Administration,Business
443,DEG,Dentistry,Dentistry Administration,Dentistry Other
444,MEG,Medicine,Neurology,Neurology
445,MEG,Medicine,Medicine Administration,Medicine Administration
446,UKG,Unknown,Unknown Designation Admin,Unknown
447,LAG,Liberal Arts & Sciences,Rhetoric,Rhetoric
448,PQG,Public Health,Public Health Administration,Public Health
449,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
450,LWG,Law,Law Foundation,Law Foundation
451,SAG,Student Aid,Student Aid General Admin,Student Aid
452,MEG,Medicine,Otolaryngology,Otolaryngology
453,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
454,DEG,Dentistry,Dentistry Administration,Dentistry Other
455,UKG,Unknown,Unknown Designation Admin,Unknown
456,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
457,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
458,BUG,Business,Business Administration,Business
459,MEG,Medicine,Medicine Administration,Medicine Administration
460,SAG,Student Aid,Student Aid General Admin,Student Aid
461,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
462,VRG,Office of University Research,VP Research Administration,Hygenics
463,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
464,PQG,Public Health,Occupation & Environment Hlth,Occupational & Environ. Hlth.
465,LAG,Liberal Arts & Sciences,Journalism,Journalism
